SUB_DIST_C,DISTRICT,STATE,TYPE,NAME,CEN_2001,x,y
Padampur,Ganganagar,Rajasthan,village,CHAK 37 B B,"0809900460064912",73.4583662125,29.6600297463
Raisinghnagar,Ganganagar,Rajasthan,village,CHAK 2 F F B,"0809900461065124",73.4134956166,29.6482553577
Padampur,Ganganagar,Rajasthan,village,CHAK 37 L N P,"0809900460064964",73.8258419276,29.6786152842
Padampur,Ganganagar,Rajasthan,village,CHAK 49 L L W,"0809900460064958",73.8556578719,29.6735240414
Padampur,Ganganagar,Rajasthan,village,CHAK  34 B B,"0809900460064920",73.5098490424,29.6623434347
Sadulshahar,Ganganagar,Rajasthan,village,CHAK 3 SDS,"0809900459064663",74.1929642797,29.9254492223
Ganganagar,Ganganagar,Rajasthan,village,CHAK 2 L,"0809900458064456",73.7091681264,29.9272502198
Ganganagar,Ganganagar,Rajasthan,village,CHAK 7 Z,"0809900458064464",73.8339571578,29.9364970206
Sadulshahar,Ganganagar,Rajasthan,village,CHAK 16 KSD,"0809900459064675",74.2410194584,29.9536665773
Karanpur,Ganganagar,Rajasthan,village,CHAK 33 H,"0809900457064163",73.4637703356,29.9230809254
Padampur,Ganganagar,Rajasthan,village,GHAMURWALI (CHAK 2 P P),"0809900460064967",73.7770838087,29.6907713326
Sadulshahar,Ganganagar,Rajasthan,village,CHAK 6 T K W,"0809900459064821",73.9491497086,29.6838779091
Ganganagar,Ganganagar,Rajasthan,village,CHAK 31 G G,"0809900458064589",73.7270977759,29.8032896090
Sadulshahar,Ganganagar,Rajasthan,village,CHAK 42 PTP,"0809900459064781",74.1133841542,29.8284726155
Ganganagar,Ganganagar,Rajasthan,village,CHAK 3 LL,"0809900458064594",73.7847723017,29.8184388787
Ganganagar,Ganganagar,Rajasthan,village,CHAK 36 G G [FIRST],"0809900458064584",73.6699805962,29.8123337181
Ganganagar,Ganganagar,Rajasthan,village,CHAK 19 ML,"0809900458064566",73.9101620136,29.8223364879
Ganganagar,Ganganagar,Rajasthan,village,CHAK 3 HH,"0809900458064568",73.8694715519,29.8211014574
Ganganagar,Ganganagar,Rajasthan,village,CHAK 10 L L,"0809900458064587",73.7453413006,29.8190526078
Sadulshahar,Ganganagar,Rajasthan,village,CHAK 29 PTP,"0809900459064788",74.1857343527,29.8241705956
Karanpur,Ganganagar,Rajasthan,village,CHAK 2 M M,"0809900457064269",73.5920163127,29.8082960643
Ganganagar,Ganganagar,Rajasthan,village,CHAK 2 LL,"0809900458064570",73.8201463716,29.8165468162
Raisinghnagar,Ganganagar,Rajasthan,village,CHAK 54 R B,"0809900461065177",73.5980792128,29.5874084551
Raisinghnagar,Ganganagar,Rajasthan,village,CHAK 56  R B,"0809900461065178",73.5750508551,29.5861759844
Raisinghnagar,Ganganagar,Rajasthan,village,CHAK 60 R B,"0809900461065180",73.5371815871,29.5836491262
Raisinghnagar,Ganganagar,Rajasthan,village,CHAK 59 R B,"0809900461065179",73.5546378691,29.5877267346
Padampur,Ganganagar,Rajasthan,village,CHAK 13 M L,"0809900460065048",73.7008839830,29.5924200761
Padampur,Ganganagar,Rajasthan,village,CHAK 50 R B,"0809900460065042",73.6399958758,29.5896683594
Padampur,Ganganagar,Rajasthan,village,CHAK 2 R B,"0809900460065007",73.6506472003,29.6526133271
Padampur,Ganganagar,Rajasthan,village,CHAK 2  E E A,"0809900460065014",73.7517731703,29.6554529128
