SUB_DIST_C,DISTRICT,STATE,TYPE,NAME,CEN_2001,x,y
Chittaurgarh,Chittaurgarh,Rajasthan,village,BANDA,"0812600659100722",74.8092499077,24.9608299254
Chittaurgarh,Chittaurgarh,Rajasthan,village,BHERDA,"0812600659100673",74.6469037601,24.9274364066
Nimbahera,Chittaurgarh,Rajasthan,village,DHANORA,"0812600663101365",74.5835709684,24.6907555333
Dungla,Chittaurgarh,Rajasthan,village,ARNIAKHERA,"0812600661101070",74.3228741074,24.6876792439
Nimbahera,Chittaurgarh,Rajasthan,village,DEVPURIYA,"0812600663101512",74.9344813331,24.7113337643
Nimbahera,Chittaurgarh,Rajasthan,village,KANPURA,"0812600663101457",74.7221996153,24.6799001627
Chittaurgarh,Chittaurgarh,Rajasthan,village,MAYRA,"0812600659100729",74.6761690481,24.7726050228
Chittaurgarh,Chittaurgarh,Rajasthan,village,GHARANA,"0812600659100830",74.7521542266,24.7628710186
Bari Sadri,Chittaurgarh,Rajasthan,village,SABALPURA,"0812600664101596",74.3651515703,24.3338184690
Bari Sadri,Chittaurgarh,Rajasthan,village,SHIVPURA,"0812600664101561",74.3989292547,24.3377312148
Bari Sadri,Chittaurgarh,Rajasthan,village,KHORIYON KA KHERA,"0812600664101631",74.3610768596,24.3382003413
Bari Sadri,Chittaurgarh,Rajasthan,village,DHALAWAD,"0812600664101633",74.3713654255,24.3380807766
Bari Sadri,Chittaurgarh,Rajasthan,village,KHOMJI KA KHERA,"0812600664101644",74.3980463614,24.3432952439
Chittaurgarh,Chittaurgarh,Rajasthan,village,SURJONA,"0812600659100675",74.6839425198,24.9364015601
Kapasan,Chittaurgarh,Rajasthan,village,TASWARIYA,"0812600660100896",74.3208586122,24.9204006987
Kapasan,Chittaurgarh,Rajasthan,village,NIMBAHERA,"0812600660100923",74.3786681210,24.9194582198
Bhadesar,Chittaurgarh,Rajasthan,village,MOHAMMAD PURA,"0812600662101182",74.5089649371,24.8178082264
Kapasan,Chittaurgarh,Rajasthan,village,ARNIYA,"0812600660100984",74.3510998362,24.8375865832
Chittaurgarh,Chittaurgarh,Rajasthan,village,GADORIKHERA,"0812600659100662",74.4903839026,24.8462377875
Gangrar,Chittaurgarh,Rajasthan,village,SUDARI,"0812600656100091",74.5633416355,25.0589741929
Bari Sadri,Chittaurgarh,Rajasthan,village,BANSI,"0812600664101639",74.3975594974,24.3164756002
Bari Sadri,Chittaurgarh,Rajasthan,village,JAISINGHPURA,"0812600664101601",74.4619288059,24.3375463732
Vallabhnagar,Udaipur,Rajasthan,village,FATPURA,"0813000690106959",74.3395015192,24.3466337034
Bari Sadri,Chittaurgarh,Rajasthan,village,PINDRI,"0812600664101537",74.5201171633,24.5072405528
Nimbahera,Chittaurgarh,Rajasthan,village,PIPLIYA GADIYA,"0812600663101433",74.6190962253,24.6894237216
Bhadesar,Chittaurgarh,Rajasthan,village,POTLA KALAN,"0812600662101268",74.4673815372,24.6818889864
Bhadesar,Chittaurgarh,Rajasthan,village,SURAJPURA,"0812600662101231",74.3598077107,24.6809071867
Nimbahera,Chittaurgarh,Rajasthan,village,SARSI,"0812600663101513",74.9234860987,24.6940304101
Nimbahera,Chittaurgarh,Rajasthan,village,SHAHBAD,"0812600663101374",74.6946506531,24.6912247550
Bhadesar,Chittaurgarh,Rajasthan,village,AMARPURA,"0812600662101233",74.5056926684,24.7035848533
Bhadesar,Chittaurgarh,Rajasthan,village,KESARPURA,"0812600662101222",74.3097823104,24.6913653480
Rawatbhata,Chittaurgarh,Rajasthan,village,NAYAGAON,"0812600658100424",75.4787885872,24.7265236557
Nimbahera,Chittaurgarh,Rajasthan,village,PUTHWAL,"0812600663101384",74.7379281743,24.7101710722
Bhadesar,Chittaurgarh,Rajasthan,village,ANGORIYA,"0812600662101274",74.5421060865,24.6942486838
Begun,Chittaurgarh,Rajasthan,village,GORLA,"0812600657100267",75.0722794505,25.1057707453
Begun,Chittaurgarh,Rajasthan,village,ITAWA,"0812600657100198",74.8130304948,25.0966432132
Begun,Chittaurgarh,Rajasthan,village,RAGHUNATHPURA,"0812600657100184",74.8199514503,25.1080842423
Gangrar,Chittaurgarh,Rajasthan,village,KUWALIYA,"0812600656100108",74.7073481134,25.0912983658
Kapasan,Chittaurgarh,Rajasthan,village,CHAKHAKHERA,"0812600660100897",74.3382045420,24.9103260429
Chittaurgarh,Chittaurgarh,Rajasthan,village,KANVARJI KA KHERA,"0812600659100731",74.7505554877,24.9229561570
Chittaurgarh,Chittaurgarh,Rajasthan,village,ARJUNPURA,"0812600659100732",74.7630509895,24.9283968776
Chittaurgarh,Chittaurgarh,Rajasthan,village,ACHHORA,"0812600659100676",74.6866210418,24.9247605054
Rawatbhata,Chittaurgarh,Rajasthan,village,SHAMBHUNATH KA KHERA,"0812600658100418",75.3363178627,25.0095154455
Rawatbhata,Chittaurgarh,Rajasthan,village,JASWANTPURA,"0812600658100518",75.4039937041,24.7580687350
Bari Sadri,Chittaurgarh,Rajasthan,village,MUKANDPURA,"0812600664101610",74.4477289566,24.3615058185
Bari Sadri,Chittaurgarh,Rajasthan,village,DEVDA,"0812600664101579",74.4228219454,24.4223094710
Bari Sadri,Chittaurgarh,Rajasthan,village,RAMPURA,"0812600664101580",74.4395211221,24.4292707384
Bhadesar,Chittaurgarh,Rajasthan,village,GARDANA,"0812600662101326",74.4967568658,24.6031729532
Rawatbhata,Chittaurgarh,Rajasthan,village,JALAMPURA,"0812600658100573",75.6883862778,24.8820838201
Begun,Chittaurgarh,Rajasthan,village,KHARDI,"0812600657100372",75.0377504265,24.9327222025
Begun,Chittaurgarh,Rajasthan,village,HARIPURA,"0812600657100201",75.0210131291,24.9440841731
Bari Sadri,Chittaurgarh,Rajasthan,village,KHANKARIYAJI KA KHERA,"0812600664101571",74.4544132733,24.4422242764
Bari Sadri,Chittaurgarh,Rajasthan,village,KIRATPURA,"0812600664101564",74.5027705651,24.4414783922
Bari Sadri,Chittaurgarh,Rajasthan,village,RENGPURIYA,"0812600664101558",74.5257458204,24.4445578170
Dungla,Chittaurgarh,Rajasthan,village,DURGAKHERI,"0812600661101166",74.3836709515,24.4449745575
Gangrar,Chittaurgarh,Rajasthan,village,JIVANAYAK,"0812600656100100",74.6470981046,25.0855644874
Bhadesar,Chittaurgarh,Rajasthan,village,PIPLYA,"0812600662101331",74.5326607760,24.6088804979
Begun,Chittaurgarh,Rajasthan,village,GULANA,"0812600657100338",75.0936934699,24.9929287499
Gangrar,Chittaurgarh,Rajasthan,village,MERIKHERA,"0812600656100163",74.6512759547,24.9858591935
Begun,Chittaurgarh,Rajasthan,village,HANUTIYA,"0812600657100387",75.1204643703,24.9755027425
Kapasan,Chittaurgarh,Rajasthan,village,HINGORIYA,"0812600660100905",74.4004970256,24.9430894814
Chittaurgarh,Chittaurgarh,Rajasthan,village,NETAVAL,"0812600659100836",74.6883732635,24.8602037461
Kapasan,Chittaurgarh,Rajasthan,village,FATEHPURA,"0812600660100991",74.4167791023,24.8548047192
Kapasan,Chittaurgarh,Rajasthan,village,KALVANPURA,"0812600660100944",74.3996517344,24.8516864624
Kapasan,Chittaurgarh,Rajasthan,village,NARIYA,"0812600660100986",74.3729734933,24.8468673512
Nimbahera,Chittaurgarh,Rajasthan,village,LAXMANPURA,"0812600663101398",74.9361166033,24.7703975122
Nimbahera,Chittaurgarh,Rajasthan,village,MARDPURA,"0812600663101503",74.9259127542,24.7686155345
Rawatbhata,Chittaurgarh,Rajasthan,village,JAWADA,"0812600658100498",75.2415780322,24.7511640464
Chittaurgarh,Chittaurgarh,Rajasthan,village,KANPURA,"0812600659100863",74.7837176387,24.7679809273
Nimbahera,Chittaurgarh,Rajasthan,village,SATKHANDA,"0812600663101355",74.6553927692,24.7456740124
Begun,Chittaurgarh,Rajasthan,village,RAJGARH,"0812600657100195",74.8495778755,25.0916429400
Gangrar,Chittaurgarh,Rajasthan,village,TUMBRIYA,"0812600656100121",74.7415834222,25.0901866380
Gangrar,Chittaurgarh,Rajasthan,village,LALUDUDA  KA KHERA,"0812600656100122",74.7247504757,25.0949207001
Gangrar,Chittaurgarh,Rajasthan,village,SHAMBHUPURA,"0812600656100073",74.6378427455,25.0958188166
Rashmi,Chittaurgarh,Rajasthan,village,BAKHTAWARPURA,"0812600655099984",74.3417897601,25.0833475630
Nimbahera,Chittaurgarh,Rajasthan,village,NARSAKHERA,"0812600663101468",74.6873548511,24.4953881722
Bari Sadri,Chittaurgarh,Rajasthan,village,BANKIYA,"0812600664101534",74.5328417996,24.4976396781
Bari Sadri,Chittaurgarh,Rajasthan,village,BHAGAL,"0812600664101533",74.5409962698,24.5012022573
Dungla,Chittaurgarh,Rajasthan,village,ALAKHERI,"0812600661101157",74.4272682259,24.4937989660
Nimbahera,Chittaurgarh,Rajasthan,village,GURA,"0812600663101463",74.6318124434,24.4957513789
Chittaurgarh,Chittaurgarh,Rajasthan,village,DUWAWA,"0812600659100704",74.7765793989,25.0773314479
Gangrar,Chittaurgarh,Rajasthan,village,JAYSINGHPURA,"0812600656100081",74.5661604612,25.0815664359
Begun,Chittaurgarh,Rajasthan,village,GOPALPURA,"0812600657100208",74.9690618416,25.0993379994
Begun,Chittaurgarh,Rajasthan,village,CHAWANDIYA,"0812600657100180",74.9879697657,25.0948752705
Begun,Chittaurgarh,Rajasthan,village,MANDAVARI,"0812600657100293",74.9038085136,25.0985545003
Chittaurgarh,Chittaurgarh,Rajasthan,village,DAULATPURA,"0812600659100745",74.8139574490,24.8654765469
Begun,Chittaurgarh,Rajasthan,village,DHARAMDASJIKAKHERA,"0812600657100402",75.0132594059,24.8656236586
Rawatbhata,Chittaurgarh,Rajasthan,village,BARODIYA,"0812600658100585",75.7278445155,24.8760764856
