SUB_DIST_C,DISTRICT,STATE,TYPE,NAME,CEN_2001,x,y
Pirawa,Jhalawar,Rajasthan,village,BISMILLAPURA,"0812900683105162",76.0127256798,24.1672398064
Manohar Thana,Jhalawar,Rajasthan,village,BHOJPUR,"0812900681104798",76.8571164527,24.1790295435
Manohar Thana,Jhalawar,Rajasthan,village,SIMLABEH,"0812900681104831",76.8406752593,24.1379906151
Pirawa,Jhalawar,Rajasthan,village,KALYANPURA,"0812900683105167",76.0525335538,24.1370887621
Manohar Thana,Jhalawar,Rajasthan,village,TALABEH,"0812900681104822",76.8079357135,24.1679422010
Pirawa,Jhalawar,Rajasthan,village,GURARIYA,"0812900683104997",76.0724908768,24.1656393642
Pirawa,Jhalawar,Rajasthan,village,PIRAWA,"0812900683800621",76.0346470453,24.1602241531
Manohar Thana,Jhalawar,Rajasthan,village,PPLIYA,"0812900681104788",76.8028269486,24.1858165492
Aklera,Jhalawar,Rajasthan,village,KHARIYA,"0812900680104620",76.5580599047,24.1874676169
Aklera,Jhalawar,Rajasthan,village,RAMPURIYAN,"0812900680104619",76.5686598060,24.1800477241
Manohar Thana,Jhalawar,Rajasthan,village,RAMPURA,"0812900681104818",76.8474196632,24.1732727999
Manohar Thana,Jhalawar,Rajasthan,village,MOHANPURA,"0812900681104780",76.7287348874,24.1702157666
Pirawa,Jhalawar,Rajasthan,village,SARWAR,"0812900683105189",76.0610051212,24.0782085900
Manohar Thana,Jhalawar,Rajasthan,village,LACHHMPURA,"0812900681104781",76.7426749583,24.1757301911
Manohar Thana,Jhalawar,Rajasthan,village,NESHGUJRAN,"0812900681104819",76.8511443260,24.1556874422
Pirawa,Jhalawar,Rajasthan,village,ADAKHERI,"0812900683105176",76.0639520859,24.1183079320
Pirawa,Jhalawar,Rajasthan,village,RAMTI,"0812900683105172",76.1013970441,24.1285687187
Manohar Thana,Jhalawar,Rajasthan,village,KHANKRA,"0812900681104786",76.7943968778,24.1749148994
Manohar Thana,Jhalawar,Rajasthan,village,KUNDBEH,"0812900681104810",76.8802640397,24.1877682527
Manohar Thana,Jhalawar,Rajasthan,village,KHERKHERI KA GHATA,"0812900681104790",76.8222337948,24.1800329472
Pirawa,Jhalawar,Rajasthan,village,DAULATPURA,"0812900683105123",76.1015303412,24.1674055248
Manohar Thana,Jhalawar,Rajasthan,village,LACHHMPURA,"0812900681104781",76.8027955156,24.1261433966
Manohar Thana,Jhalawar,Rajasthan,village,MADHOPURIYA,"0812900681104835",76.8876159402,24.1311971478
Manohar Thana,Jhalawar,Rajasthan,village,MADHOPURIYA,"0812900681104835",76.8543208549,24.1347800101
Manohar Thana,Jhalawar,Rajasthan,village,MADHOPURIYA,"0812900681104835",76.8665162269,24.1375950221
Pirawa,Jhalawar,Rajasthan,village,JETAKHERI,"0812900683105131",76.0272235307,24.1890923342
Pirawa,Jhalawar,Rajasthan,village,DHARONIYA,"0812900683105122",76.0962177985,24.1858680307
Manohar Thana,Jhalawar,Rajasthan,village,CHITORL,"0812900681104832",76.8641213122,24.1500349608
Pirawa,Jhalawar,Rajasthan,village,BALDA,"0812900683105166",76.0333762383,24.1329980849
Manohar Thana,Jhalawar,Rajasthan,village,MOTPURA,"0812900681104823",76.8084933051,24.1621913026
Pirawa,Jhalawar,Rajasthan,village,SAMANKHERA,"0812900683105186",76.0369180986,24.0871535268
Manohar Thana,Jhalawar,Rajasthan,village,KHANPURIYA,"0812900681104679",76.8979236973,24.1413002114
Manohar Thana,Jhalawar,Rajasthan,village,SEMLI KHURD,"0812900681104817",76.8679172797,24.1735127741
Pirawa,Jhalawar,Rajasthan,village,SARONIYA,"0812900683105125",76.0670311646,24.1876127544
Manohar Thana,Jhalawar,Rajasthan,village,KANWARIYAKHERI,"0812900681104779",76.7385929147,24.1879000623
Manohar Thana,Jhalawar,Rajasthan,village,NESHCHARNAN,"0812900681104778",76.7516697677,24.1885636038
Pirawa,Jhalawar,Rajasthan,village,BIJNAKHERI,"0812900683105177",76.0408961554,24.1131339277
Aklera,Jhalawar,Rajasthan,village,BALANPURA,"0812900680104618",76.5698629160,24.1769832550
Aklera,Jhalawar,Rajasthan,village,BALANPURA,"0812900680104618",76.5555548035,24.1720563131
Manohar Thana,Jhalawar,Rajasthan,village,DHINKARIYAKHERI,"0812900681104752",76.7053248340,24.1770096533
Manohar Thana,Jhalawar,Rajasthan,village,KALIYAKHERI (BAMALABEH),"0812900681104753",76.7171150169,24.1749006941
Manohar Thana,Jhalawar,Rajasthan,village,TORDA,"0812900681104795",76.8401035840,24.1925346630
Manohar Thana,Jhalawar,Rajasthan,village,TAJPURIYA,"0812900681104833",76.8733863688,24.1452708424
Aklera,Jhalawar,Rajasthan,village,DEVLIBAR,"0812900680104622",76.5337865416,24.1989166143
Pirawa,Jhalawar,Rajasthan,village,MOHAMADPURA,"0812900683105169",76.0562784768,24.1541627067
Pirawa,Jhalawar,Rajasthan,village,DEVCHI,"0812900683105171",76.1141859372,24.1501175084
Manohar Thana,Jhalawar,Rajasthan,village,MOGIYABEH,"0812900681104821",76.8267728643,24.1652297319
Manohar Thana,Jhalawar,Rajasthan,village,PACHPPLI,"0812900681104751",76.7036179243,24.1869653105
Manohar Thana,Jhalawar,Rajasthan,village,PINDOLA,"0812900681104827",76.8047196477,24.1474147468
Manohar Thana,Jhalawar,Rajasthan,village,PATLAPANI,"0812900681104830",76.8355617379,24.1505897273
Manohar Thana,Jhalawar,Rajasthan,village,PTAPURA,"0812900681104825",76.7816866075,24.1582430105
Manohar Thana,Jhalawar,Rajasthan,village,GIRDHARPURA,"0812900681104785",76.7791923964,24.1665424861
Pirawa,Jhalawar,Rajasthan,village,ELAHIPURA,"0812900683105163",76.0135588108,24.1571714142
Manohar Thana,Jhalawar,Rajasthan,village,SEMHAT,"0812900681104814",76.9051155374,24.1714355736
Pirawa,Jhalawar,Rajasthan,village,RASULPURA,"0812900683105173",76.1197545767,24.1217267609
Pirawa,Jhalawar,Rajasthan,village,KHERI,"0812900683105178",76.0242898378,24.1111464893
Manohar Thana,Jhalawar,Rajasthan,village,DANGPURA,"0812900681104829",76.8157862665,24.1334003816
Pirawa,Jhalawar,Rajasthan,village,DANTA,"0812900683105179",76.0125197475,24.1007664228
Pirawa,Jhalawar,Rajasthan,village,LAKSHMANPURA,"0812900683105190",76.0506135529,24.0711444755
Pirawa,Jhalawar,Rajasthan,village,KIRARIYA,"0812900683105174",76.1134248301,24.0944410856
Pirawa,Jhalawar,Rajasthan,village,DILAWARA,"0812900683105128",76.0540437645,24.1773458757
Manohar Thana,Jhalawar,Rajasthan,village,BHAWANPURA,"0812900681104777",76.7625751408,24.1993617879
Pirawa,Jhalawar,Rajasthan,village,AMRPURA,"0812900683105129",76.0405795620,24.1812231299
Manohar Thana,Jhalawar,Rajasthan,village,GOWARI,"0812900681104826",76.7892117920,24.1518287427
Manohar Thana,Jhalawar,Rajasthan,village,CHITTORA,"0812900681104816",76.8694600228,24.1618015499
Manohar Thana,Jhalawar,Rajasthan,village,JAISRI,"0812900681104820",76.8382435553,24.1656160719
Pirawa,Jhalawar,Rajasthan,village,SHERPUR,"0812900683105170",76.0834743755,24.1178274927
Manohar Thana,Jhalawar,Rajasthan,village,CHOLDIYA,"0812900681104815",76.8872020024,24.1666862902
Manohar Thana,Jhalawar,Rajasthan,village,HAMRPURA,"0812900681104789",76.8130942879,24.1769245632
Manohar Thana,Jhalawar,Rajasthan,village,BIRJPURA,"0812900681104776",76.7667277765,24.1889949461
Manohar Thana,Jhalawar,Rajasthan,village,NARERA,"0812900681104784",76.7743367240,24.1782639962
Manohar Thana,Jhalawar,Rajasthan,village,GANESHPURA,"0812900681104754",76.7258193363,24.1887744630
Aklera,Jhalawar,Rajasthan,village,ARNAUDA,"0812900680104621",76.5352294280,24.1926812528
Aklera,Jhalawar,Rajasthan,village,BHORBAND,"0812900680104616",76.5298235817,24.1769087874
Aklera,Jhalawar,Rajasthan,village,SOGPURA,"0812900680104624",76.5623301587,24.1982305560
Manohar Thana,Jhalawar,Rajasthan,village,BANJARI,"0812900681104797",76.8368656115,24.1831794850
Pirawa,Jhalawar,Rajasthan,village,RAJPURA,"0812900683105162",76.0243372477,24.1771437777
Pirawa,Jhalawar,Rajasthan,village,NARAINA,"0812900683105165",76.0178932627,24.1388268296
Pirawa,Jhalawar,Rajasthan,village,BOLIYABARI,"0812900683105187",76.0518679718,24.0993488525
Manohar Thana,Jhalawar,Rajasthan,village,BORKHANDI,"0812900681104834",76.8845027868,24.1415390296
Bassi,Jaipur,Rajasthan,village,BHUDARPURA,"0811000549080884",76.1357383964,26.7274757352
