SUB_DIST_C,DISTRICT,STATE,TYPE,NAME,CEN_2001,x,y
Baytoo,Barmer,Rajasthan,village,MADHASAR,"0811500578087193",71.8187207340,25.9085268086
Gudha Malani,Barmer,Rajasthan,village,BAMBDI KALAN,"0811500581087880",71.8599890248,25.7437022236
Siwana,Barmer,Rajasthan,village,JETHANTRI,"0811500580087544",72.4789231398,25.8071262612
Ramsar,Barmer,Rajasthan,village,JUMMA FAKIR KI BASTI,"0811500583088597",70.6866992896,25.7075091099
Sheo,Barmer,Rajasthan,village,AMIN KA PAR,"0811500577086698",70.4897073520,25.6958034203
Chohtan,Barmer,Rajasthan,village,BISARNIYA,"0811500584088857",71.1683048729,25.2925793952
Chohtan,Barmer,Rajasthan,village,DHANAU,"0811500584088892",71.1465076307,25.2482028508
Gudha Malani,Barmer,Rajasthan,village,MAUKHAVA KHURD,"0811500581088088",71.6260502634,25.2782278237
Pachpadra,Barmer,Rajasthan,village,GODAWAS,"0811500579087489",72.6783541616,26.1358002875
Baytoo,Barmer,Rajasthan,village,AMBEDKAR NAGAR,"0811500578087103",71.9974187006,26.1042023660
Sheo,Barmer,Rajasthan,village,THUMBLI,"0811500577086782",71.2776814050,26.0404528409
Sheo,Barmer,Rajasthan,village,SHASTRI GAON,"0811500577086667",70.6120508793,26.0868360279
Barmer,Barmer,Rajasthan,village,LAPAL NADI,"0811500582088179",71.1114656229,25.9521215003
Pachpadra,Barmer,Rajasthan,village,NAGANA,"0811500579087499",72.5396120299,26.1359028959
Baytoo,Barmer,Rajasthan,village,LAPUNDRA MALBECHAN,"0811500578087106",72.0706604722,26.0927823562
Pachpadra,Barmer,Rajasthan,village,KHIPALI KHERA,"0811500579087482",72.6116924719,26.1522607645
Gudha Malani,Barmer,Rajasthan,village,KUKLAN KI DHANI,"0811500581088123",71.9353340397,25.3806926265
Chohtan,Barmer,Rajasthan,village,GUMANA KA TALA,"0811500584088791",70.8465246405,25.3062580626
Gudha Malani,Barmer,Rajasthan,village,JERUPONIYON KA TALA,"0811500581087857",71.8257485917,25.6212760490
Chohtan,Barmer,Rajasthan,village,PARADIYA,"0811500584088640",71.0377700502,25.5835205054
Gudha Malani,Barmer,Rajasthan,village,DUDAPURA,"0811500581087780",71.5168854400,25.3528927068
Chohtan,Barmer,Rajasthan,village,NEHRON KI NADI,"0811500584088859",71.2184220631,25.3343906209
Chohtan,Barmer,Rajasthan,village,DELUON KA TALA,"0811500584088856",71.1684241452,25.3295743093
Chohtan,Barmer,Rajasthan,village,SUJA KA NIWAN,"0811500584089010",70.9883544154,24.9442814010
Chohtan,Barmer,Rajasthan,village,KHARADER,"0811500584088991",71.3259065565,24.9709045354
Gudha Malani,Barmer,Rajasthan,village,GANDHAV KALA,"0811500581088066",71.6838235594,25.0020486539
Chohtan,Barmer,Rajasthan,village,OGALA,"0811500584088990",71.3608208484,24.9697923400
Chohtan,Barmer,Rajasthan,village,SALARIYA,"0811500584088933",71.1060645832,25.0745200724
Barmer,Barmer,Rajasthan,village,MAHABAR PITHLA,"0811500582088345",71.4219260115,25.6427551812
Siwana,Barmer,Rajasthan,village,SANWARLA,"0811500580087624",72.5981029779,25.7317443679
Barmer,Barmer,Rajasthan,village,SANSIYON KA TALA,"0811500582088341",71.3963999798,25.6864363172
Barmer,Barmer,Rajasthan,village,DEVANIYON KI DHANI,"0811500582088368",71.4968091819,25.6847672234
Gudha Malani,Barmer,Rajasthan,village,DEDAWAS CHARNAN,"0811500581088151",71.7877166620,25.2475643950
Gudha Malani,Barmer,Rajasthan,village,DEDAWAS KA GOLIYA,"0811500581088149",71.8165785162,25.2409692830
Barmer,Barmer,Rajasthan,village,MATASAR,"0811500582088289",71.6074768777,25.7920813040
Ramsar,Barmer,Rajasthan,village,INDRAWAS,"0811500583088545",71.0707533767,25.6631099283
Gudha Malani,Barmer,Rajasthan,village,SINDHARI CHAUSIRA,"0811500581087898",71.9296244674,25.5594652507
Chohtan,Barmer,Rajasthan,village,TARATRA,"0811500584088676",71.3097505077,25.5240450063
Gudha Malani,Barmer,Rajasthan,village,BAMANI,"0811500581087903",72.0384196915,25.5582283669
Barmer,Barmer,Rajasthan,village,RAMDERIYA,"0811500582088330",71.3519069200,25.5351724171
Barmer,Barmer,Rajasthan,village,NIMBASAR NADI,"0811500582088331",71.3769442817,25.5403761131
Gudha Malani,Barmer,Rajasthan,village,MANGLA KI DHANI,"0811500581087806",71.7008416512,25.3443962368
Chohtan,Barmer,Rajasthan,village,MADASAR,"0811500584088853",71.1877222813,25.3436030589
Baytoo,Barmer,Rajasthan,village,MAKANIYON KI DHANI,"0811500578087218",71.7839871587,25.7271814707
Baytoo,Barmer,Rajasthan,village,KHARDA BERA,"0811500578087217",71.7498706699,25.7257152489
Baytoo,Barmer,Rajasthan,village,SANPA MANJI,"0811500578087238",71.8414273423,25.7173253207
Baytoo,Barmer,Rajasthan,village,JHUND,"0811500578087124",71.9502855264,26.0058381304
Sheo,Barmer,Rajasthan,village,KHARCHI,"0811500577086727",70.8116906726,25.9228090655
Gudha Malani,Barmer,Rajasthan,village,HARRAJ KA GOL,"0811500581088047",71.5989766613,25.1458936237
Gudha Malani,Barmer,Rajasthan,village,PIPRALI,"0811500581088052",71.6144663787,25.1346417544
Gudha Malani,Barmer,Rajasthan,village,SUDA BERI,"0811500581087984",71.4856903668,25.1421718246
Baytoo,Barmer,Rajasthan,village,SANTRA,"0811500578087127",71.9541094256,26.0313127436
Pachpadra,Barmer,Rajasthan,village,BANKIAWAS KALAN,"0811500579087504",72.5639525954,26.0693153638
Pachpadra,Barmer,Rajasthan,village,MEGHAWAS,"0811500579087458",72.4809903984,26.1604982223
Pachpadra,Barmer,Rajasthan,village,JASOL,"0811500579087334",72.2095239895,25.8072077024
Barmer,Barmer,Rajasthan,village,BHURTIYA,"0811500582088287",71.5807930037,25.8132580914
Siwana,Barmer,Rajasthan,village,CHARDIYA,"0811500580087560",72.7236844918,25.9063118826
Barmer,Barmer,Rajasthan,village,KAMOIPURA,"0811500582088235",71.3138181491,25.8712406131
Barmer,Barmer,Rajasthan,village,PUROHITON KI BASTI,"0811500582088225",71.4403897634,25.8774355646
Chohtan,Barmer,Rajasthan,village,MIYE KA TALA,"0811500584088880",70.8408847996,25.2372032496
Gudha Malani,Barmer,Rajasthan,village,BHALI  KHAL,"0811500581087963",71.5913915570,25.2644253877
Mandal,Bhilwara,Rajasthan,village,DHAPARA,"0812200631095115",74.1163441516,25.6670133947
Asind,Bhilwara,Rajasthan,village,KHOKHLO KA KHERA,"0812200627094689",74.2650669702,25.6796166226
Sahara,Bhilwara,Rajasthan,village,GALODIYA,"0812200633095479",74.3001450571,25.2010871410
Ratangarh,Churu,Rajasthan,village,RAGHUNATHPURA,"0810200485070644",74.6711566923,28.0714527803
Mandal,Bhilwara,Rajasthan,village,CHITAMBA,"0812200631095141",74.1508564077,25.5835011160
Chohtan,Barmer,Rajasthan,village,MOGAWA,"0811500584089033",71.0939337883,24.8579596828
Pachpadra,Barmer,Rajasthan,village,REWARA SODA,"0811500579087355",72.3230797157,26.0033658223
Pachpadra,Barmer,Rajasthan,village,MAHADEVNAGAR,"0811500579087281",72.0902367645,25.9860154839
Baytoo,Barmer,Rajasthan,village,CHAINPURA,"0811500578087098",71.9805580200,26.0751545929
Pachpadra,Barmer,Rajasthan,village,DADKIYAON KA TALA,"0811500579087295",72.1868784808,26.1000971450
Siwana,Barmer,Rajasthan,village,KHARANTYA,"0811500580087629",72.7181339004,25.8375029525
Pachpadra,Barmer,Rajasthan,village,SARANA,"0811500579087437",72.3735788515,25.8289031108
Pachpadra,Barmer,Rajasthan,village,MANDAWAS,"0811500579087274",72.1346324042,25.8546862594
Chohtan,Barmer,Rajasthan,village,AIROWALA,"0811500584088692",71.3058069965,25.4755192227
Baytoo,Barmer,Rajasthan,village,PURANA GAON BAYTU PANJI,"0811500578087161",71.6976055874,25.8945748364
Mandal,Bhilwara,Rajasthan,village,SULIYA,"0812200631095158",74.2121727142,25.6129256954
Mandal,Bhilwara,Rajasthan,village,TAGADIYA,"0812200631095135",74.1348954732,25.6212169215
Sahara,Bhilwara,Rajasthan,village,GOVAITYA,"0812200633095437",74.1128779858,25.1651491953
